event_name,calendar_title,catalog_name,start_date,end_date,url,results_year,results_month,edition_ym_candidates,date_precision,date_source,flags,source_fingerprint
Manneken Swing,Manneken Swing,Manneken Swing,2026-08-21,2026-08-23,https://www.mannekenswing.com,2026,8,2026-08,day,wsdc_calendar,,d6da1946dde9d4d6a0dd88d5
Westie Joy,Westie Joy,Westie Joy,2026-08-21,2026-08-23,https://www.westiejoy.com/,2026,8,2026-08,day,wsdc_calendar,,dd68305c3ac38eadb87a5a5a
Desert City Swing,Desert City Swing,Desert City Swing,2026-08-27,2026-08-30,http://www.desertcityswing.com,2026,8,2026-08,day,wsdc_calendar,,3c0023dca48b84525b39af78
Rolling Swing,Rolling Swing,Rolling Swing,2026-08-27,2026-08-31,http://www.frenchywesty.com,2026,8,2026-08,day,wsdc_calendar,,0c9f27d896a78942522a77dc
Bristol Swing Fiesta,Bristol Swing Fiesta,Bristol Swing Fiesta,2026-08-28,2026-08-30,https://www.bristolcityswing.com/bsf,2026,8,2026-08,day,wsdc_calendar,,6e75503f5c7e438cf016399c
Korea Westival,Korea Westival,Korea Westival,2026-09-03,2026-09-06,http://koreawestival.com,2026,9,2026-09,day,wsdc_calendar,,fcb94a4342efedf86c0f9a4c
South Bay Dance Fling,South Bay Dance Fling,South Bay Dance Fling,2026-09-03,2026-09-07,https://sbdf.dance/,2026,9,2026-09,day,wsdc_calendar,,817d46b7445e6cc97c4c9dc5
Jax Westie Fest,Jax Westie Fest,River City Swing,2026-09-04,2026-09-07,http://www.jaxwestiefest.com,2026,9,2026-09,day,wsdc_calendar,,83d85055ab0a9ddcf83a4e0a
Bavarian Open West Coast Swing Championships,Bavarian Open West Coast Swing Championships,Bavarian Open,2026-09-10,2026-09-14,https://bavarianopen.com,2026,9,2026-09,day,wsdc_calendar,,59e55b8dbf3b1581e88fd4b7
SwingTime Denver,SwingTime Denver,SwingTime Denver,2026-09-10,2026-09-13,http://www.swingtimewcs.com,2026,9,2026-09,day,wsdc_calendar,,2af17daff7234bfc1226e5f5
Trilogy Swing,Trilogy Swing,Trilogy Swing,2026-09-10,2026-09-13,https://trilogywcs.com/,2026,9,2026-09,day,wsdc_calendar,,ab0c1d2ca2096352d46ad7c5
Sea Dance Fest,Sea Dance Fest,Sea Dance Fest,2026-09-11,2026-09-13,,2026,9,2026-09,day,wsdc_calendar,,29ceeabf1e9b32ae823c5ac6
Sea Dance Fest,Sea Dance Fest,Sea Dance Fest,2026-09-11,2026-09-13,https://vk.com/seadancefest,2026,9,2026-09,day,wsdc_calendar,,e7937302604f06572512a5aa
Retaliation Swing,Retaliation Swing,Retaliation Swing,2026-09-17,2026-09-20,https://www.retaliationswing.com,2026,9,2026-09,day,wsdc_calendar,,808314a1766a25ce99e6a96a
WCS Party in Vienna,WCS Party in Vienna,WCS Party,2026-09-17,2026-09-21,https://www.wcsparty.com/,2026,9,2026-09,day,wsdc_calendar,,425189a64da40adad2681b07
Austin Rocks,Austin Rocks,Austin Rocks,2026-09-18,2026-09-20,https://atxrox.com/,2026,9,2026-09,day,wsdc_calendar,,2c4985b806ac7747771376a4
Finnfest,Finnfest,Finnfest,2026-09-18,2026-09-21,http://www.finnfest.fi,2026,9,2026-09,day,wsdc_calendar,,b867f95f3c7c6ab3172a3831
Global Grand Prix -- West Coast Swing Championships,Global Grand Prix -- West Coast Swing Championships,Global Grand Prix -- West Coast Swing Championships,2026-09-18,2026-09-21,https://www.globalgrandprixwcs.com/,2026,9,2026-09,day,wsdc_calendar,,65a31d4fdddb0948b8aa5db3
The Aloha Open,The Aloha Open,The Aloha Open,2026-09-23,2026-09-27,http://www.alohaopenwcs.com,2026,9,2026-09,day,wsdc_calendar,,0a8fc0e18bc2cd5e937a906d
Best of the Best WCS,Best of the Best WCS,Best of the Best WCS,2026-09-24,2026-09-27,https://www.bestofthebestwcs.com/,2026,9,2026-09,day,wsdc_calendar,,78295b5aab544e501c464780
Calgary Town Open,Calgary Town Open,Calgary Town Open,2026-09-24,2026-09-27,https://ctodance.ca,2026,9,2026-09,day,wsdc_calendar,,add005889e519f9bc6ddf94a
Meet Me In St Louis,Meet Me In St Louis,Meet Me In St Louis,2026-09-24,2026-09-28,http://Www.mmisl.com,2026,9,2026-09,day,wsdc_calendar,,147cad01c9a6aee60b134f2c
Midland Swing Open,Midland Swing Open,Midland Swing Open,2026-09-24,2026-09-28,http://www.MidlandSwingOpen.com,2026,9,2026-09,day,wsdc_calendar,,6e214887a8af8ea8b0d2534e
Mooseland Swing,Mooseland Swing 2026,Mooseland Swing,2026-09-24,2026-09-28,https://mooselandswing.com/,2026,9,2026-09,day,wsdc_calendar,,33c49f10e0fa752d3de8b00b
Philly Swing Classic,Philly Swing Classic,Philly Swing Classic,2026-09-25,2026-09-27,https://phillyswing.com/,2026,9,2026-09,day,wsdc_calendar,,fbea6c0445da8892648509a9
Atlanta Swing Classic,Atlanta Swing Classic,Atlanta Swing Classic,2026-10-01,2026-10-04,https://www.atlantaswingclassic.com/,2026,10,2026-10,day,wsdc_calendar,,59e7e956ef53f4dc4eeca27a
