year,start_date,original_date,event_name,status_event,event_location,country,confirmed,canceled,link,continent,Latitude,Longitude
2024,2024-10-11,"Oct 11 - 13, 2024",New Zealand Open,Registry Event,Auckland,New Zealand,False,False,https://www.streetswing.co.nz/the-new-zealand-open,OC,-36.5412811,174.5506104914412
2024,2024-10-17,"Oct 17 - 20, 2024",European Swing Challenge,Registry Event,"Berkshire, London, England",United Kingdom,False,False,http://www.jiveaddiction.com,EU,51.6127314,-0.0556807
2024,2024-10-17,"Oct 17 - 20, 2024",Milan Modern Swing,Registry Event,"Sesto San Giovani, Italy",Italy,True,False,https://www.westcoastswingmilan.com/,EU,45.5328245,9.2256875
2024,2024-10-17,"Oct 17 - 20, 2024",Montreal Westie Fest,Registry Event,"Montreal, Quebec, Canada",Canada,False,False,http://www.montrealwestiefest.com,NA,45.5031824,-73.5698065
2024,2024-10-17,"Oct 17 - 20, 2024",Paradise Dance Festival,Registry Event,"Irvine, CA",United States,False,False,http://www.ParadiseCountryDanceFestival.com,NA,33.745696900000006,-117.7659819
2024,2024-10-17,"Oct 17 - 20, 2024",Augsburg Westie Station,Trial Event,"Augsburg, Germany",Germany,False,False,https://www.augsburgwestiestation.com/,EU,48.3668041,10.8986971
2024,2024-10-18,"Oct 18 - 20, 2024",Swustlicious,Registry Event,"City of Prussia, PA",United States,False,False,http://Www.Swustlicious.com,NA,40.08405785,-75.40554733786664
2024,2024-10-24,"Oct 24 - 27, 2024",Halloween Swingthing,Registry Event,"Santa Ana, CA",United States,False,False,http://HSTswing.com,NA,33.7494951,-117.8732213
2024,2024-10-24,"Oct 24 - 27, 2024",Swing City Chicago,Registry Event,"Schaumburg, IL",United States,True,False,https://swingcitychicago.com/,NA,42.0933608,-88.023406
2024,2024-10-24,"Oct 24 - 28, 2024",Warsaw Halloween Swing,Registry Event,"Warsaw, Poland",Poland,True,False,http://www.warsawhalloweenswing.com,EU,52.2319581,21.0067249
2024,2024-10-24,"Oct 24 - 27, 2024",Simply Adelaide West Coast Swing 2023,Registry Event,"Mawson Lakes, South Australia, Australia",Australia,False,False,http://www.simplyadelaidewcs.com.au,OC,-34.8104796,138.6111791
2024,2024-10-25,"Oct 25 - 27, 2024",Swingside Invitational,Trial Event,"Liege, Belgium",Belgium,False,False,http://www.swingside-invitational.com,EU,50.6450944,5.5736112
2024,2024-10-25,"Oct 25 - 27, 2024",Spooky Westie Weekend,Trial Event,Singapore,Singapore,False,False,https://spookywestieweekend.com/,AS,1.4171070000000001,103.8794992
2024,2024-10-31,"Oct 31 - Nov 3, 2024",Mountain Magic Dance Convention,Registry Event,"Stateline, NV",United States,False,False,http://www.michelledance.com/mmm.html,NA,38.9667745,-119.94427458159146
2024,2024-11-01,"Nov 1 - 3, 2024",Midnight Madness,Registry Event,"Irving, Texas",United States,False,False,http://www.midnightmadness.info,NA,32.8295183,-96.9442177
2024,2024-11-01,"Nov 1 - 3, 2024","Scandinavian Open WCS ""SNOW""",Registry Event,"Stockholm, Sweden",Sweden,False,False,http://www.snowcs.se,EU,59.4451172,18.1910935
2024,2024-11-01,"Nov 1 - 4, 2024",Moscow Westie Fest,Registry Event,"Moscow, Russia",Russian Federation,False,False,http://westiefest.org,EU,55.685578,37.666391600000004
2024,2024-11-07,"Nov 7 - 10, 2024",Sea to Sky Seattle WCS,Registry Event,"Seattle, WA",United States,False,False,http://SeaToSkyWCS.com,NA,47.6638321,-122.270062
2024,2024-11-07,"Nov 7 - 10, 2024",Westies on the Water,Registry Event,"Huntsville, AL",United States,False,False,http://www.westiesonthewater.com,NA,34.729847,-86.5859011
2024,2024-11-08,"Nov 8 - 10, 2024",Autumn Swing Challenge,Registry Event,"Budapest, Hungary",Hungary,False,False,http://asc-budapest.com/,EU,47.6778918,19.2201609
2024,2024-11-08,"Nov 8 - 11, 2024",Westie Pink City,Registry Event,"Toulouse, France",France,True,False,http://www.westiepinkcity.fr,EU,43.6044622,1.4442469
2024,2024-11-14,"Nov 14 - 17, 2024",DC Swing eXperience (DCSX),Registry Event,"Washington, DC",United States,True,False,http://www.dcswingexperience.com,NA,39.0150368,-76.9165427
2024,2024-11-14,"Nov 14 - 17, 2024",Tampa Bay Classic,Registry Event,"Tampa, FL",United States,False,False,http://www.floridadanceevents.com,NA,27.9477595,-82.458444
2024,2024-11-14,"Nov 14 - 18, 2024",Westie's Angels,Registry Event,"Bron, Rhone, France",France,False,False,http://www.westiesangels.fr,EU,45.793753200000005,4.9692352
