dancer_id,role,dance,level,total_points,update_date
8442,Follower,West Coast Swing,Master,193,2024-10-30
8442,Follower,West Coast Swing,Master,194,2024-11-06
8524,Leader,West Coast Swing,All-Star,31,2024-10-30
8524,Leader,West Coast Swing,All-Star,32,2024-11-06
8540,Follower,West Coast Swing,Sophisticated,34,2024-10-30
8540,Follower,West Coast Swing,Sophisticated,35,2024-11-06
8699,Leader,West Coast Swing,Master,125,2024-10-30
8699,Leader,West Coast Swing,Master,129,2024-11-06
8724,Follower,West Coast Swing,Master,265,2024-10-30
8724,Follower,West Coast Swing,Master,271,2024-11-06
8774,Follower,West Coast Swing,All-Star,6,2024-11-06
8848,Follower,West Coast Swing,All-Star,5,2024-10-30
8848,Follower,West Coast Swing,All-Star,8,2024-11-06
8848,Follower,West Coast Swing,Master,391,2024-10-30
8848,Follower,West Coast Swing,Master,395,2024-11-06
8861,Leader,West Coast Swing,Intermediate,16,2024-10-30
8861,Leader,West Coast Swing,Intermediate,18,2024-11-06
8960,Leader,West Coast Swing,Intermediate,19,2024-10-30
8960,Leader,West Coast Swing,Intermediate,23,2024-11-06
9005,Follower,West Coast Swing,All-Star,65,2024-10-30
9005,Follower,West Coast Swing,All-Star,68,2024-11-06
9011,Leader,West Coast Swing,Sophisticated,39,2024-10-30
9011,Leader,West Coast Swing,Sophisticated,41,2024-11-06
9038,Follower,West Coast Swing,Master,255,2024-10-30
