event_id,event_name,event_year,event_month,planned_start_date,planned_end_date,calendar_status,date_source,source_fingerprint,calendar_title,url,match_via,scraped_at,updated_at
100,New Mexico Dance Fiesta,2013,9,2013-09-27,2013-09-29,scheduled,wsdc_dump,dump:competitionevents:1430,New Mexico Dance Fiesta,,dump_competitionevents_series_id,2026-09-24 16:35:35.994224+00,2026-09-24 16:35:35.994224+00
131,Meet Me In St Louis,2013,9,2013-09-26,2013-09-29,scheduled,wsdc_dump,dump:competitionevents:1437,Meet Me In St Louis,,dump_competitionevents_series_id,2026-09-24 16:35:35.994224+00,2026-09-24 16:35:35.994224+00
10,Bridgetown Swing Boogie,2013,9,2013-09-19,2013-09-22,scheduled,wsdc_dump,dump:competitionevents:1433,Bridgetown Swing Boogie,,dump_competitionevents_series_id,2026-09-24 16:35:35.994224+00,2026-09-24 16:35:35.994224+00
190,Vermont Swing Dance Championships,2013,9,2013-09-13,2013-09-15,scheduled,wsdc_dump,dump:competitionevents:1420,Vermont Swing Dance Championships,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
135,Desert City Swing,2013,9,2013-09-06,2013-09-08,scheduled,wsdc_dump,dump:competitionevents:1416,Desert City Swing,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
177,River City Swing,2013,9,2013-09-05,2013-09-08,scheduled,wsdc_dump,dump:competitionevents:1419,River City Swing,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
191,Sunny Side Dance Camp,2013,9,2013-08-31,2013-09-07,scheduled,wsdc_dump,dump:competitionevents:1415,Sunny Side Dance Camp,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
15,Dallas D.A.N.C.E.,2013,9,2013-08-29,2013-09-01,scheduled,wsdc_dump,dump:competitionevents:1417,Dallas D.A.N.C.E.,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
48,South Bay Dance Fling,2013,9,2013-08-29,2013-09-01,scheduled,wsdc_dump,dump:competitionevents:1414,South Bay CW Dance Festival,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
53,Summer Hummer,2013,8,2013-08-22,2013-08-25,scheduled,wsdc_dump,dump:competitionevents:1412,Summer Hummer,,dump_competitionevents_series_id,2026-09-24 16:33:57.143549+00,2026-09-24 16:33:57.143549+00
