event_id,canonical_name,url,registry_status,typical_city,typical_state,typical_country,typical_location,first_edition_year,last_edition_year,edition_count,total_result_rows,unique_dancers,upcoming_start_date,upcoming_location,updated_at
285,Old Town Swing,,,,,,,2017,2018,2,115,99,,,2026-06-23 12:49:48.149947+00
117,Orange Blossom Dance Festival,http://www.orangeblossomdance.net,,,,,,2006,2026,20,912,522,,,2026-06-23 12:49:48.149947+00
98,Pacific Rim Dance Classic,,,,,,,2004,2004,1,28,28,,,2026-06-23 12:49:48.149947+00
195,Palm Springs New Years Swing Dance Classic,,,,,,,2013,2020,8,801,525,,,2026-06-23 12:49:48.149947+00
448,Palm Springs Summer Dance Camp Classic,,,,,,,2018,2018,1,83,83,,,2026-06-23 12:49:48.149947+00
51,Palm Springs Summer Dance Classic,,,,,,,1998,2019,19,1654,944,,,2026-06-23 12:49:48.149947+00
449,Paradise Country & Swing Dance Festival,,,,,,,2018,2018,1,76,75,,,2026-06-23 12:49:48.149947+00
450,Paradise Country and Swing Dance Festival,,,,,,,2019,2019,1,78,75,,,2026-06-23 12:49:48.149947+00
451,Paradise Country Dance Festival,,,,,,,1995,2022,18,809,464,,,2026-06-23 12:49:48.149947+00
43,Paradise Dance Festival,https://paradisecountrydancefestival.com/,Registry Event,,,United States,"Irvine, CA, United States",2023,2025,3,246,174,2026-10-15,"Irvine, CA, United States",2026-06-23 12:49:48.149947+00
307,Paris Swing Classic,https://www.parisswingclassic.com/,,,,,,2023,2026,4,553,410,,,2026-06-23 12:49:48.149947+00
272,Paris Westie Fest,http://https//parisswingclassic.com,Registry Event,,,France,"Paris, France/Paris, France",2017,2020,4,327,267,2027-02-25,"Paris, France/Paris, France",2026-06-23 12:49:48.149947+00
234,Philly Swing Classic,https://phillyswing.com/,Registry Event,,,United States,"WILMINGTON, DEL, Delaware, United States",2014,2022,8,614,389,2026-09-25,"WILMINGTON, DEL, Delaware, United States",2026-06-23 12:49:48.149947+00
452,Philly Swing Dance Classic,,,,,,,2024,2025,2,150,116,,,2026-06-23 12:49:48.149947+00
106,Phoenix Dance Festival,,,,,,,2005,2006,2,55,43,,,2026-06-23 12:49:48.149947+00
44,Portland Dance Festival,,,,,,,1997,2019,16,752,421,,,2026-06-23 12:49:48.149947+00
386,Prague Alchemy Swing,https://praguealchemyswing.cz/,Registry Event,,,Czech Republic,"Prague, Czech Republic",2026,2026,1,118,105,2027-02-19,"Prague, Czech Republic",2026-06-23 12:49:48.149947+00
124,ProviDANCE Swing in the City,,,,,,,2006,2006,1,39,39,,,2026-06-23 12:49:48.149947+00
91,Reno Dance Sensation,,,,,,,2004,2011,8,768,475,,,2026-06-23 12:49:48.149947+00
359,Retaliation Swing,https://www.retaliationswing.com/,Registry Event,,,United States,"Seattle, WA, United States",2025,2025,1,92,90,2026-09-17,"Seattle, WA, United States",2026-06-23 12:49:48.149947+00
