dancer_id,role,dance,level,total_points,update_date
747,Follower,West Coast Swing,Intermediate,11,2026-07-20
747,Follower,West Coast Swing,Novice,14,2026-07-20
747,Follower,West Coast Swing,Newcomer,1,2026-07-20
749,Leader,West Coast Swing,Intermediate,4,2026-07-20
748,Leader,West Coast Swing,Champion,2,2026-07-20
748,Leader,West Coast Swing,Invitational,17,2026-07-20
748,Leader,West Coast Swing,Advanced,22,2026-07-20
748,Leader,West Coast Swing,Master,1,2026-07-20
748,Leader,West Coast Swing,Professional,54,2026-07-20
750,Leader,West Coast Swing,Advanced,11,2026-07-20
750,Leader,West Coast Swing,Master,8,2026-07-20
750,Leader,West Coast Swing,Professional,19,2026-07-20
751,Follower,West Coast Swing,Newcomer,4,2026-07-20
752,Follower,West Coast Swing,Advanced,16,2026-07-20
753,Follower,West Coast Swing,Novice,3,2026-07-20
754,Leader,West Coast Swing,Novice,15,2026-07-20
754,Leader,West Coast Swing,Master,2,2026-07-20
755,Follower,West Coast Swing,Intermediate,6,2026-07-20
755,Follower,West Coast Swing,Novice,6,2026-07-20
757,Follower,West Coast Swing,Newcomer,10,2026-07-20
756,Leader,West Coast Swing,Advanced,76,2026-07-20
756,Leader,West Coast Swing,Master,1,2026-07-20
756,Leader,West Coast Swing,Professional,4,2026-07-20
758,Leader,West Coast Swing,Champion,11,2026-07-20
758,Leader,West Coast Swing,Invitational,36,2026-07-20
758,Leader,West Coast Swing,All-Star,2,2026-07-20
758,Leader,West Coast Swing,Advanced,14,2026-07-20
758,Leader,West Coast Swing,Professional,5,2026-07-20
758,Leader,West Coast Swing,Teacher,0,2026-07-20
759,Follower,West Coast Swing,Advanced,6,2026-07-20
759,Follower,West Coast Swing,Novice,2,2026-07-20
760,Follower,West Coast Swing,Intermediate,10,2026-07-20
760,Follower,West Coast Swing,Novice,12,2026-07-20
761,Follower,West Coast Swing,Juniors,4,2026-07-20
762,Leader,West Coast Swing,Professional,6,2026-07-20
763,Follower,West Coast Swing,Intermediate,4,2026-07-20
763,Follower,West Coast Swing,Novice,9,2026-07-20
763,Follower,West Coast Swing,Newcomer,3,2026-07-20
765,Follower,West Coast Swing,Intermediate,1,2026-07-20
765,Follower,West Coast Swing,Novice,8,2026-07-20
766,Leader,West Coast Swing,Intermediate,4,2026-07-20
766,Leader,West Coast Swing,Novice,10,2026-07-20
764,Leader,West Coast Swing,Champion,415,2026-07-20
764,Leader,West Coast Swing,Invitational,140,2026-07-20
764,Leader,West Coast Swing,All-Star,49,2026-07-20
764,Leader,West Coast Swing,Advanced,44,2026-07-20
764,Leader,West Coast Swing,Professional,192,2026-07-20
767,Follower,West Coast Swing,Novice,10,2026-07-20
768,Leader,West Coast Swing,Novice,0,2026-07-20
769,Follower,West Coast Swing,Novice,0,2026-07-20
770,Leader,West Coast Swing,Advanced,10,2026-07-20
770,Leader,West Coast Swing,Intermediate,14,2026-07-20
770,Leader,West Coast Swing,Novice,9,2026-07-20
771,Follower,West Coast Swing,Advanced,18,2026-07-20
771,Follower,West Coast Swing,Intermediate,27,2026-07-20
771,Follower,West Coast Swing,Master,14,2026-07-20
772,Follower,West Coast Swing,Advanced,22,2026-07-20
772,Follower,West Coast Swing,Novice,16,2026-07-20
774,Leader,West Coast Swing,Novice,7,2026-07-20
775,Follower,West Coast Swing,Advanced,31,2026-07-20
775,Follower,West Coast Swing,Master,21,2026-07-20
775,Follower,West Coast Swing,Professional,13,2026-07-20
776,Follower,West Coast Swing,Novice,6,2026-07-20
777,Leader,West Coast Swing,Advanced,5,2026-07-20
779,Follower,West Coast Swing,Novice,6,2026-07-20
778,Leader,West Coast Swing,Advanced,59,2026-07-20
778,Leader,West Coast Swing,Intermediate,15,2026-07-20
778,Leader,West Coast Swing,Novice,10,2026-07-20
778,Leader,Lindy,Advanced,11,2026-07-20
780,Follower,West Coast Swing,Advanced,4,2026-07-20
780,Follower,West Coast Swing,Novice,4,2026-07-20
780,Follower,West Coast Swing,Master,13,2026-07-20
781,Follower,West Coast Swing,Novice,10,2026-07-20
782,Follower,West Coast Swing,Novice,2,2026-07-20
782,Follower,West Coast Swing,Newcomer,1,2026-07-20
783,Follower,West Coast Swing,Advanced,2,2026-07-20
783,Follower,West Coast Swing,Professional,4,2026-07-20
784,Leader,West Coast Swing,Novice,14,2026-07-20
785,Leader,West Coast Swing,Champion,70,2026-07-20
785,Leader,West Coast Swing,Invitational,10,2026-07-20
785,Leader,West Coast Swing,Advanced,54,2026-07-20
785,Leader,West Coast Swing,Novice,14,2026-07-20
785,Leader,West Coast Swing,Professional,262,2026-07-20
786,Leader,West Coast Swing,Newcomer,0,2026-07-20
787,Follower,West Coast Swing,Newcomer,10,2026-07-20
788,Follower,West Coast Swing,Intermediate,10,2026-07-20
788,Follower,West Coast Swing,Novice,0,2026-07-20
789,Follower,West Coast Swing,Intermediate,1,2026-07-20
789,Follower,West Coast Swing,Novice,10,2026-07-20
790,Follower,West Coast Swing,Advanced,9,2026-07-20
790,Follower,West Coast Swing,Novice,1,2026-07-20
791,Follower,West Coast Swing,Novice,0,2026-07-20
792,Follower,West Coast Swing,Advanced,10,2026-07-20
793,Follower,West Coast Swing,Advanced,2,2026-07-20
793,Follower,West Coast Swing,Novice,7,2026-07-20
795,Leader,West Coast Swing,Advanced,2,2026-07-20
795,Leader,West Coast Swing,Intermediate,6,2026-07-20
795,Leader,West Coast Swing,Novice,10,2026-07-20
795,Leader,West Coast Swing,Newcomer,4,2026-07-20
794,Leader,West Coast Swing,Advanced,50,2026-07-20
796,Leader,West Coast Swing,Newcomer,2,2026-07-20
797,Leader,West Coast Swing,Invitational,3,2026-07-20
797,Leader,West Coast Swing,All-Star,7,2026-07-20
797,Leader,West Coast Swing,Advanced,64,2026-07-20
797,Leader,West Coast Swing,Intermediate,10,2026-07-20
797,Leader,West Coast Swing,Novice,16,2026-07-20
797,Leader,West Coast Swing,Master,88,2026-07-20
797,Leader,Lindy,Advanced,2,2026-07-20
799,Leader,West Coast Swing,Advanced,4,2026-07-20
